desc,result
"Gender: Male
Age: 72
Departure City: Kazan
Destination City: Stavropol
Class: First
Price: 68639
Refundable: No
Passenger Type: Business
Flight Frequency: 8
Baggage Availability: No
Purchase Method: Online
Booking Group: In a group
Time Before Flight: 54
Flight Duration: 10
Weather at Departure: Clear
Transfer: No
Day of the Week: Wednesday
Public Holiday: No
Social Status: Retired",False
"Gender: Male
Age: 21
Departure City: Saint Petersburg
Destination City: Mirny
Class: Economy
Price: 67944
Refundable: Yes
Passenger Type: Business
Flight Frequency: 9
Baggage Availability: No
Purchase Method: At the airport
Booking Group: In a group
Time Before Flight: 65
Flight Duration: 1
Weather at Departure: Snowfall
Transfer: No
Day of the Week: Friday
Public Holiday: No
Social Status: Student",True
"Gender: Female
Age: 23
Departure City: Yekaterinburg
Destination City: Mirny
Class: First
Price: 40383
Refundable: Yes
Passenger Type: Regular
Flight Frequency: 0
Baggage Availability: Yes
Purchase Method: Travel agency
Booking Group: Alone
Time Before Flight: 41
Flight Duration: 23
Weather at Departure: Clear
Transfer: No
Day of the Week: Monday
Public Holiday: Yes
Social Status: Student",False
"Gender: Male
Age: 42
Departure City: Nadym
Destination City: Kazan
Class: Economy
Price: 18421
Refundable: Yes
Passenger Type: Regular
Flight Frequency: 7
Baggage Availability: No
Purchase Method: At the airport
Booking Group: In a group
Time Before Flight: 20
Flight Duration: 4
Weather at Departure: Snowfall
Transfer: Yes
Delay Between Flights: No
Day of the Week: Sunday
Public Holiday: No
Social Status: Working",True
"Gender: Female
Age: 65
Departure City: Novy Urengoy
Destination City: Samara
Class: Business
Price: 72995
Refundable: No
Passenger Type: Business
Flight Frequency: 7
Baggage Availability: Yes
Purchase Method: At the airport
Booking Group: In a group
Time Before Flight: 4
Flight Duration: 8
Weather at Departure: Snowfall
Transfer: Yes
Delay Between Flights: Yes
Day of the Week: Thursday
Public Holiday: Yes
Social Status: Student",False
"Gender: Female
Age: 34
Departure City: Nadym
Destination City: Perm
Class: First
Price: 39355
Refundable: No
Passenger Type: Business
Flight Frequency: 5
Baggage Availability: Yes
Purchase Method: At the airport
Booking Group: Alone
Time Before Flight: 6
Flight Duration: 20
Weather at Departure: Rain
Transfer: No
Day of the Week: Thursday
Public Holiday: Yes
Social Status: Retired",False
"Gender: Male
Age: 64
Departure City: Ufa
Destination City: Irkutsk
Class: Business
Price: 33082
Refundable: No
Passenger Type: Business
Flight Frequency: 6
Baggage Availability: Yes
Purchase Method: Travel agency
Booking Group: In a group
Time Before Flight: 69
Flight Duration: 23
Weather at Departure: Rain
Transfer: Yes
Delay Between Flights: Yes
Day of the Week: Tuesday
Public Holiday: No
Social Status: Student",False
"Gender: Male
Age: 37
Departure City: Moscow
Destination City: Ulan-Ude
Class: First
Price: 21692
Refundable: Yes
Passenger Type: Regular
Flight Frequency: 3
Baggage Availability: No
Purchase Method: At the airport
Booking Group: With family
Time Before Flight: 56
Flight Duration: 8
Weather at Departure: Rain
Transfer: No
Day of the Week: Friday
Public Holiday: Yes
Social Status: Retired",True
"Gender: Male
Age: 73
Departure City: Norilsk
Destination City: Krasnoyarsk
Class: First
Price: 57767
Refundable: No
Passenger Type: Regular
Flight Frequency: 10
Baggage Availability: Yes
Purchase Method: At the airport
Booking Group: With family
Time Before Flight: 94
Flight Duration: 15
Weather at Departure: Clear
Transfer: No
Day of the Week: Sunday
Public Holiday: No
Social Status: Working",False
"Gender: Female
Age: 75
Departure City: Salekhard
Destination City: Nizhny Novgorod
Class: Economy
Price: 62928
Refundable: Yes
Passenger Type: Regular
Flight Frequency: 4
Baggage Availability: Yes
Purchase Method: Travel agency
Booking Group: Alone
Time Before Flight: 70
Flight Duration: 5
Weather at Departure: Rain
Transfer: No
Day of the Week: Wednesday
Public Holiday: No
Social Status: Student",True
